COREDEP,REPDTE,ASSET,RBC1AAJ,INTINC,NETINC,EQ,LNLSDEPR,LNLSNTV,DEP,RBCRWAJ,CHBAL,CERT,NONII,LNLSNET,ID
105245,20241231,181254,12.484659543654141,12937,2324,21426,92.92126253718376,77.9,151948,16.262861865837344,10611,58413,1196,141192,58413_20241231
312849,20241231,416750,11.68466056861576,22416,2670,44581,79.41052631578948,70.6,370500,0.0,9758,58584,1139,294216,58584_20241231
528191,20241231,811450,9.642149807771288,46725,11123,62492,78.38224583235184,71.35,738666,17.35461747289209,139278,58657,5385,578983,58657_20241231
232000,20241231,448834,11.561293499960424,31828,3786,51824,96.54961386402277,84.01,390536,42.58476241374432,41078,58687,2674,377061,58687_20241231
80692,20241231,192556,12.958681444822862,11536,-91,23561,99.64052193033214,71.54,138256,18.447869446962827,25874,59182,1623,137759,59182_20241231
33972,20241231,68154,29.933856329795418,3633,-1707,19460,106.95615691210405,74.81,47670,0.0,518,59292,48,50986,59292_20241231
684728,20241231,793469,12.241908028536272,40022,16049,85812,58.010869362003824,50.84,695349,21.161292483119777,55144,8033,4765,403378,8033_20241231
31066,20240930,42475,12.961238088414415,1631,127,3230,51.930523917995444,42.94,35120,23.821205821205822,7462,10843,60,18238,10843_20240930
367534,20240930,482541,14.716269380166661,17435,2970,64353,67.92202425803943,57.91,411410,25.348083417706896,36766,12266,3160,279438,12266_20240930
276465,20240930,508033,5.8361319961729015,17789,-1003,28612,67.1886936592819,43.63,329868,10.193744692030867,15043,16249,5275,221634,16249_20240930
67146,20240930,91499,18.0490234050794,3521,979,16368,56.06305632941496,45.09,73585,0.0,12703,16584,524,41254,16584_20240930
410992,20240930,664814,10.350695345559314,22765,4464,54776,75.10407331106379,58.24,515502,0.0,21845,20179,26794,387163,20179_20240930
425283,20240930,522878,11.027310880144832,15454,3265,47585,45.218073510718796,40.34,466517,0.0,28874,20568,2467,210950,20568_20240930
49101,20240930,68135,15.061095668288162,2017,-45,8675,39.97708084059388,34.82,59339,35.78943874672243,13693,22229,403,23722,22229_20240930
4668058,20240930,6650159,10.212599072178918,274971,45419,638101,95.35872941584984,79.78,5563929,12.93516492353795,240795,24156,21856,5305692,24156_20240930
947897,20240930,1183764,9.465832359350996,46379,11399,109300,93.66887402287145,84.23,1064471,13.703528822032704,89543,24823,4950,997078,24823_20240930
56100,20240930,106696,7.304111788656739,3841,-118,6538,111.97576821276417,74.15,70651,12.277638490926456,11834,28217,534,79112,28217_20240930
52177,20240930,65939,14.085472689875827,2479,95,9845,66.18235304669142,55.95,55749,0.0,8921,29399,214,36896,29399_20240930
184091,20240930,266559,13.366788491127677,11849,1565,35879,95.40045288122322,80.45,224783,19.844980506065642,43510,31823,502,214444,31823_20240930
685376,20240930,1038571,10.73619149934893,40067,6091,99787,89.06329002857127,78.19,911755,17.295864558534692,89100,33708,3947,812039,33708_20240930
57847,20240930,103620,13.154727643765371,4376,884,14603,104.76774889359962,81.56,80667,18.026157747230748,15436,34334,145,84513,34334_20240930
337477,20240930,535929,11.212028100684577,22093,2401,67744,70.13301199078126,57.12,436502,14.852509085285703,62426,34643,2090,306132,34643_20240930
210790,20240930,615384,12.720497596081962,25048,4803,78538,68.17844637730178,57.65,520358,19.794713232126114,79834,35241,532,354772,35241_20240930
