COREDEP,REPDTE,CHBAL,ASSET,RBC1AAJ,CERT,NETINC,EQ,LNLSNET,DEP,ID,deposits,loans,cash,assets,core_dep,T1R,LTD,CBD,BDR,LTD_baseline,LTD_delta,T1R_baseline,T1R_delta,CBD_baseline,CBD_delta,BDR_baseline,BDR_delta,RISK_SCORE,SEVERITY,INSTNAME,CITY,STALP
13821,19941231,384,17890,11.056456120737842,31559,168,1978,10509,15720,31559_19941231,15720,10509,384,17890,13821,0.11056456120737841,0.6685114503816794,8.916030534351146,0.12080152671755726,0.658134791425106,0.010376658956573359,0.10619451092517351,0.004370050282204899,5.438084977672009,3.4779455566791366,0.12575434716378803,-0.004952820446230771,40.9,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13352,19950331,123,17500,12.102857142857143,31559,51,2118,10362,15306,31559_19950331,15306,10362,123,17500,13352,0.12102857142857143,0.6769894159153274,2.9331634653077225,0.12766235463217038,0.6637517958877535,0.013237620027573893,0.10874967385848028,0.012278897570091152,6.7016932423307605,-3.768529777023038,0.12130769549540774,0.0063546591367626415,48.7,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13275,19950630,303,17304,12.517337031900139,31559,99,2166,10037,15040,31559_19950630,15040,10037,303,17304,13275,0.1251733703190014,0.6673537234042554,7.353390957446808,0.11735372340425532,0.6671325585011234,0.00022116490313195403,0.11272336886354783,0.012450001455453552,5.866052130746045,1.4873388267007632,0.12076532732614109,-0.003411603921885775,44.1,medium,Dwelling House Savings and Loan,Pittsburgh,PA
12910,19950930,162,17234,12.980155506556807,31559,133,2237,9884,14560,31559_19950930,14560,9884,162,17234,12910,0.12980155506556806,0.6788461538461539,4.061126373626373,0.11332417582417582,0.6706608407590794,0.008185313087074486,0.11723099715758391,0.012570557907984156,6.238860824897503,-2.17773445127113,0.12076452327363235,-0.0074403474494565275,45.7,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13209,19951231,217,17624,12.893587680992875,31559,106,2464,9781,15066,31559_19951231,15066,9781,217,17624,13209,0.12893587680992874,0.6492101420416833,5.257201646090535,0.12325766626841896,0.672925185886854,-0.023715043845170758,0.12164201450512983,0.0072938623047989065,5.815927832683013,-0.5587261865924775,0.11978544514453969,0.0034722211238792655,43.3,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13448,19960331,390,17516,13.116553078433638,31559,27,2473,9699,14981,31559_19960331,14981,9699,390,17516,13448,0.13116553078433638,0.6474200654161938,9.502035912155396,0.10232961751551965,0.668099858801855,-0.02067979338566117,0.1262348434057674,0.004930687378568971,4.90122061061786,4.600815301537536,0.12039948003225512,-0.018069862516735466,44.2,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13165,19960630,123,17478,13.506793871061001,31559,91,2519,9788,14863,31559_19960630,14863,9788,123,17478,13165,0.13506793871061,0.6585480723945367,3.0205880374083294,0.1142434232658279,0.6607075211770715,-0.002159448782534823,0.12876908324470865,0.006298855465901365,6.543438722329778,-3.522850684921449,0.11406629575309243,0.00017712751273546434,50.8,medium,Dwelling House Savings and Loan,Pittsburgh,PA
12962,19960930,1275,17581,13.225658121623173,31559,56,2484,9622,14927,31559_19960930,14927,9622,1275,17581,12962,0.13225658121623174,0.644603738192537,31.17672673678569,0.13164065116902257,0.6585061084246419,-0.013902370232104833,0.1312427253426108,0.0010138558736209335,5.460237992320159,25.71648874446553,0.11328872071848559,0.018351930450536985,49.0,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13123,19961231,1401,17805,13.174503894922385,31559,72,2535,9548,15069,31559_19961231,15069,9548,1401,17805,13123,0.13174503894922385,0.6336186873714248,33.93489946247262,0.12913929258743115,0.6499455045112377,-0.016326817139812877,0.1318564818802767,-0.00011144293105286307,12.239138083109989,21.695761379362633,0.11786783955469728,0.011271453032733872,48.5,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13328,19970331,1680,18076,13.063189119605978,31559,18,2543,9708,15440,31559_19970331,15440,9708,1680,18076,13328,0.13063189119605978,0.6287564766839379,39.715025906735754,0.13678756476683937,0.646047640843673,-0.017291164159735195,0.1325587724151005,-0.0019268812190407214,19.40856253720551,20.306463369530245,0.11933824613445032,0.01744931863238905,49.1,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13533,19970630,1950,18515,13.037037037037036,31559,60,2666,9714,15674,31559_19970630,15674,9714,1950,18515,13533,0.13037037037037036,0.6197524562970524,45.40959550848539,0.1365956360852367,0.6413817436606091,-0.021629287363556626,0.13242536251803136,-0.002054992147661,26.961810035850597,18.44778547263479,0.12795273294728027,0.008642903137956431,49.5,medium,Dwelling House Savings and Loan,Pittsburgh,PA
